ordinal,name,canonical_key,active_status,server_status,client_package,process_status,primary_url
1,"Moai Diorite Statue",moai-diorite-statue,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/moai-diorite-statue
2,"Moai Granite Statue",moai-granite-statue,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/moai-granite-statue
3,"Dark Wood Moai Villager",dark-wood-moai-villager,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/dark-wood-moai-villager
4,"Maple's Chicken Collection",maples-chicken-collection,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/maples-chicken-collection
5,"Moai Villager King",moai-villager-king,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/moai-villager-king
6,"Moai Golem Statue",moai-golem-statue,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/moai-golem-statue
7,"Maple's Frog Collection",maples-frog-collection,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/maples-frog-collection
8,"Luxury Building Pack",luxury-building-pack,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/luxury-building-pack
9,"Moai Andesite Statue",moai-andesite-statue,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/moai-andesite-statue
10,"Mangrove Mud Moai Statue",mangrove-mud-moai-statue,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/mangrove-mud-moai-statue
11,"Moai Pillager Statue",moai-pillager-statue,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/moai-pillager-statue
12,"Moai Tuff Statue",moai-tuff-statue,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/moai-tuff-statue
13,"CS - Complementary Structures: Towers",cs-towers,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/cs-towers
14,"Ducky Quack Pack",ducky-quack-pack,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/ducky-quack-pack
15,"Magic Cauldrons",magic-cauldrons,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/magic-cauldrons
16,"Pale Garden Trader",pale-garden-trader,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/pale-garden-trader
17,"Safe Leash",safe-leash,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/safe-leash
18,"Savanna Elephant Statue",savanna-elephant-statue,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/savanna-elephant-statue
19,"Simplest Watering Can",simplest-watering-can,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/simplest-watering-can
20,"Cherry Villages! (Mot's Structures)",mots-structures,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/mots-structures
21,"Leash Everything",leash-everything,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/leash-everything
22,Fields,fields,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/fields
23,"Lymonite Horse Armor",lymonite-horse-armor,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/lymonite-horse-armor
24,"Cats Don't Care (CDC)",cats-dont-care,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/cats-dont-care
25,"yiche's automatedharvest",yiches-automatedharvest,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/yiches-automatedharvest
26,"Better than Boats",better-than-boats,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/better-than-boats
27,Depillage,depillage,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/depillage
28,"Dream Displays",dreamdisplays,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/dreamdisplays
29,"Small Structures",small-structures,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/small-structures
30,Yumemigusa,yumemigusa,ok,"Client-only: included",Included,ok,https://www.curseforge.com/minecraft/mc-mods/yumemigusa
